key,content
S134,"Title: Penalties
Desc: 1 [(1) Subject to the provisions of sub-section (1A) if any person- (a) whether by himself or by any other person on his behalf, imports into India or manufactures for sales or stores, Sells or distributes any article of food- (i) which is adulterated within the meaning of sub-clause (m) of clause (ia) of section 2 or misbranded within the meaning of clause (ix) of that section or the sale of which is prohibited under any provision of this Act or any rule made there under or by an order of the Food (Health) Authority; (ii) other than an article of food referred to in sub-clause (i), in contravention of any of the provisions of this Act or of any rule made there under; or (b) whether by himself or by any other person on his behalf, imports into India or manufactures for sales or stores, sells or distributes any adulterant which is not injurious to health; or (c) prevents a food inspector from taking a sample as authorised by this Act; or (d) prevents a food inspector from exercising any other power conferred on him by or under this Act; or (e) being a manufacturer of an article of food, has in his possession, or in any of the premises occupied by him, any adulterant which is not injurious to health; or (f) uses any report or certificate of a test or analysis made by the Director of the Central Food Laboratory or by a public analyst or any extract thereof for the purpose of advertising any article of food; or (g) whether by himself or by any other person on his behalf, gives to the vendor a false warranty in writing in respect of any article of food sold by him, he shall, in addition to the penalty to which he may be liable under the provisions of section 6, be punishable with imprisonment for a term which shall not be less than six months but which may extend to three years, and with fine which shall not be less than one thousand rupees: Provided that- (i) if the offence is under sub-clause(i) of clause (a) and is with respect to an article of food, being primary food, which is adulterated due to human agency or is with respect to an article of food which is misbranded within the meaning of sub-clause (k) of clause (ix) of section 2; or (ii) if the offence is under sub-clause (ii) of clause (a), but not being an offence with respect to the contravention of any rule made under clause (a) or clause (g) of sub-section (1 A) of section 23 or under clause (b) of sub-section (2) of section 24. the court may, for any adequate and special reasons to be mentioned in the judgment, impose a sentence of imprisonment for a term which shall not be less than three months but which may extend to two years, and with fine which shall not be less than five hundred rupees: Provided further that if the offence is under sub-clause (ii) of clause (a) and is with respect to the contravention of any rule made under clause (a) or clause (g) of sub-section (1 A) of section 23 or under clause (b) of sub-section (2) of section 24, the court may, for any adequate and special reasons to be mentioned in the judgment, impose a sentence of imprisonment for a term which may extend to three months and with fine which may extend to five hundred rupees.] 2 [(1 A) If any person whether by himself or by any other person on his behalf, imports into India or manufactures for sale, or stores, sells or distributes,- (i) any article of food which is adulterated within the meaning of any of the sub-clauses (e) to (1) (both inclusive) of clause (ia) of section 2; or (ii) any adulterant which is injurious to health, he shall, in addition to the penalty to which he may be liable under the provisions of section 6, be punishable with imprisonment for a term which shall not be less than one year but which may extend to six years and with fine which shall not be less than two thousand rupees: provided that if such article of food or adulterant when consumed by any person is likely to cause his death or is likely to cause such harm on his body as would amount to grievous hurt within the meaning of section 320 of the Indian Penal Code, 1860 (45 of I860), he shall be punishable with imprisonment for a term which shall not be less than three years but which may extend to term of life and with fine which shall not be less than five thousand rupees.) 3 [(1AA)] If any person in whose safe custody any article of food has been kept under sub-section (4) of section 10, tampers or in any other manner interferes with such article, he shall be punishable with imprisonment for a term which shall not be less man six months but which may extend to two years and with fine which shall not be less than one thousand rupees. 4 [(1B) If any person in whose safe custody any article of food has been kept under sub-section (4) of section 10, sells or distributes such article which is found by the magistrate before whom it is produced to be adulterated within the meaning of sub-clause (h) of clause (ia) of section 2 and which, when consumed by any person, is likely to cause his death or is likely to cause such harm on his body as would amount to grievous hurt within the meaning of section 320 of the Indian Penal Code, 1860 (45 of 1860), then, notwithstanding anything contained in sub-section (1AA), he shall be punishable with imprisonment for a term which shall not be less than three years but which may extend to term of life and with fine which shall not be less than five thousand rupees.] (1C) If any person contravenes the provisions of section 14 or section 14A, he shall be punishable with imprisonment for a term which may extend to six months and with fine which shall not be less than five hundred rupees. (1D) if any person convicted of an offence under this Act commits a like offence afterwards, then, without prejudice to the provisions of sub-section (2), the court, before which the second or subsequent conviction takes place, may order the cancellation of the licence, if any, granted to him under this Act and thereupon such licence shall, notwithstanding anything contained in this Act, or in the rules made there under, stand cancelled. (2) If any person convicted of an offence under this Act commits a like offence afterwards it shall be lawful for the court before which the second or subsequent conviction takes place to cause the offender's name and place of residence, the offence and the penalty imposed to be published at the offender's expense in such newspapers or in such other manner as the court may direct. The expenses of such publication shall be deemed to be part of the cost attending the conviction and shall be recoverable in the same manner as a fine. Substituted by Act 34 of 1976 , Section 12, for sub-section (1) (w.e.f. 1-4-1976). Inserted by Act 34 of 1976 , Section 12 for sub-section (1B) (w.e.f. 1-4-1976). Sub-section (1A) renumbered as sub-section (1AA) by Act 34 of 1976 , Section 12 (w.e.f. 1-4-1976). Substituted by Act 34 of 1976 , Section 12, for sub-section (1B) (w.e.f. 1-4-1976).
"
S169,"Title: Recovery of money due from an employer
Desc: (1) Where any money is due to a workman from an employer under a settlement or an award or under the provisions of2 [Chapter VA or Chapter VB] the workman himself or any other person authorised by him in writing in this behalf, or, in the case of the death of the workman, his assignee or heirs may, without prejudice to any other mode of recovery, make an application to the appropriate Government for the recovery of the money due to him, and if the appropriate Government is satisfied that any money is so due, it shall issue certificate for that amount to the Collector who shall proceed to recover the same in the same manner as an arrear of land revenue: Provided that every such application shall be made within one year from the date on which the money became due to the workman from the employer: Provided further that any such application may be entertained after the expiry of the said period of one year, if the appropriate Government is satisfied that the applicant had sufficient cause for not making the application within the said period. (2) Where any workman is entitled to receive from the employer any money or any benefit which is capable of being computed in terms of money and if any question arises as to the amount of money due or as to the amount at which such benefit should be computed, then the question may, subject to any rules that may be made under this Act, be decided by such Labour Court as may be specified in this behalf by the appropriate Government3 [within a period not exceeding three months]. 4 [Provided that where the presiding officer of a Labour Court considers it necessary or expedient so to do, he may, for reasons to be recorded in writing, extend such period by such further period as he may think fit] (3) For the purposes of computing the money value of a benefit, the Labour Court may, if it so thinks fit, appoint a Commissioner who shall, after taking such evidence as may be necessary, submit a report to the Labour Court and the Labour Court shall determine the amount after considering the report of the Commissioner and other circumstances of the case. (4) The decision of the Labour Court shall be forwarded by it to the appropriate Government and any amount found due by the Labour Court may be recovered in the manner provided for in subsection (I). (5) Where workmen employed Under the same employer are entitled to receive from him any money or any benefit capable of being computed in terms of money, then, subject to such rules as may be made in this behalf, a single application for the recovery of the amount due may be made on behalf of or in respect of any number of such workmen. Explanation. - In this section ""Labour Court"" includes any court constituted under any law relating to investigation and settlement of industrial disputes in force in any State.] STATE AMENDMENTS Andhra Pradesh.—In section 33C, in sub-section (1), for the words ""to the Collector who shall proceed to recover the same in the same manner as an arrear of land revenue"", substitute the words ""to the Chief Judicial Magistrate or the Chief Metropolitan Magistrate having jurisdiction and the Chief Judicial Magistrate or the Chief Metropolitan Magistrate, as the case may be, shall proceed to realize the money as if it were a fine imposed by such Magistrate"". [Vide Andhra Pradesh Act 32 of 1987, sec. 10 (w.e.f. 27-7-1987).] Rajasthan.—In section 33C, in sub-section (1), after the expression ""Chapter VA"", insert the expression ""or under an order issued bv the State Government under section 10K. of the Act"" [Vide Rajasthan Act 14 of 1970, sec. 8 (w.e.f. 26-2-1970).] West Bengal.—In section 33C, in sub-section (1), for the words ""to the collector who shall proceed to recover the same in the same manner as an arrear of land revenue"", substitute the words ""to the Chief Judicial Magistrate or the Chief Metropolitan Magistrate having jurisdiction and the Chief Judicial Magistrate or the Chief Metropolitan Magistrate, as the case may be, shall proceed to realize the money as if it were a fine imposed by such Magistrate"". [Vide West Bengal Act 57 of 1980.] Section 33C Inserted by Act 36 of 1956 , section 23 with effect from . 10-3-1957 and Substituted by Act 36 of 1964 , section 19 with effect from . 15-12-1964. Substituted by Act 32 of 1976 , section 4, for ""Chapter VA"" with effect from . 5-3-1976. Inserted by Act 46 of 1982 , section 19 with effect from . 21-8-1984. Added by Act 46 of 1982 , section 19 with effect from . 21-8-1984.
"
S92,"Title: Kidnapping or abducting in order to murder
Desc: Whoever kidnaps or abducts any person in order that such person may be murdered or may be so disposed of as to be put in danger of being murdered, shall be punished with 1 [imprisonment for life] or rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine. Illustrations (a) A kidnaps Z from 2 [India], intending or knowing it to be likely that Z may be sacrificed to an idol. A has committed the offence defined in this section. (b) A forcibly carries or entices B away from his home in order that B may be murdered. A has committed the offence defined in this section. Substituted by Act 26 of 1955, section 117 and Schedule, for ""transportation for life"" (w.e.f. 1-1-1956). The words ""British India"" have successively been Substituted by the A.O. 1948, the A.O. 1950 and Act 3 of 1951, section 3 and Schedule to read as above.
"
S51,"Title: Punishment for culpable homicide not amounting to murder
Desc: Whoever commits culpable homicide not amounting to murder shall be punished with 1 [imprisonment for life], or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine, if the act by which me death is caused is done with the intention of causing death, or of causing such bodily injury as is likely to cause death; or with imprisonment of either description for a term which may extend to ten years, or with fine, or with both, if the act is done with the knowledge that it is likely to cause death, but without any intention to cause death, or to cause such bodily injury as is likely to cause death. Substituted by Act 26 of 1955, section 117 and Schedule, for ""transportation for life"" (w.e.f. 1-1-1956).
"
S8,"Title: Power of superintendence over all courts by the High Court
Desc: 1 (1) Every High Court shall have superintendence over all courts and tribunals throughout the territories in relation to which it exercises jurisdiction. (2) Without prejudice to the generality of the foregoing provision, the High Court may- (a) call for returns from such courts; (b) make and issue general rules and prescribe forms for regulating the practice and proceedings of such courts; and (c) prescribe forms in which books, entries and accounts shall be kept by the officers of any such courts. (3) The High Court may also settle tables of fees to be allowed to the sheriff and all clerks and officers of such courts and to attorneys, advocates and pleaders practising therein: Provided that any rules made, forms prescribed or tables settled under clause (2) or clause (3) shall not be inconsistent with the provision of any law for the time being in force, and shall require the previous approval of the Governor. (4) Nothing in this Article shall be deemed to confer on a High Court powers of superintendence over any court or tribunal constituted by or under any law relating to the Armed Forces. 2 Clause (1) has been successively Substituted by the Constitution (Forty-second Amendment) Act, 1976 , Section 40 (w.e.f. 1-2-1977) and the Constitution (Forty-fourth Amendment) Act, 1978 , Section 31, to read as above (w.e.f. 20-6-1979). Clause (5) Inserted by the Constitution (Forty-second Amendment) Act, 1976 , Section 40 (w.e.f. 1-2-1977) and omitted by the Constitution (Forty-fourth Amendment) Act, 1978 , Section 31 (w.e.f. 20.6.1979).
"
S196,"Title: Appeal in case of acquittal
Desc: 1 [(1) Save as otherwise provided in sub-section (2), and subject to the provisions of sub-sections (3) and (5),-- (a) the District Magistrate may, in any case, direct the Public Prosecutor to present an appeal to the Court of Session from an order of acquittal passed by a Magistrate in respect of a cognizable and non-bailable offence; (b) the State Government may, in any case, direct the Public Prosecutor to present an appeal to the High Court from an original or appellate order of an acquittal passed by any Court other than a High Court [not being an order under clause (a)] or an order of acquittal passed by the Court of Session in revision.] (2) If such an order of acquittal is passed in any case in which the offence has been investigated by the Delhi Special Police Establishment constituted under the Delhi Special Police Establishment Act, 1946 (25 of 1946) or by any other agency empowered to make investigation into an offence under any Central Act other than this Code, 2 [the Central Government may, subject to the provisions of sub-section (3), also direct the Public Prosecutor to present an appeal-- (a) to the Court of Session, from an order of acquittal passed by a Magistrate in respect of a cognizable and non-bailable offence; (b) to the High Court from an original or appellate order of an acquittal passed by any Court other than a High Court [not being an order under clause (a)] or an order of acquittal passed by the Court of Session in revision] (3) 3 [No appeal to the High Court] under sub-section (1) or sub-section (2) shall be entertained except with the leave of the High Court. (4) If such an order of acquittal is passed in any case instituted upon complaint and the High Court, on an application made to it by the complainant in this behalf, grants special leave to appeal from the order of acquittal, the complainant may present such an appeal to the High Court. (5) No application under sub-section (4) for the grant of special leave to appeal from an order of acquittal shall be entertained by the High Court after the expiry of six months, where the complainant is a public servant, and sixty days in every other case, computed from the date of that order of acquittal. (6) If, in any case, the application under sub-section (4) for the grant of special leave to appeal from an order of acquittal is refused, no appeal from that order of acquittal shall lie under sub-section (1) or under sub-section (2) . Substituted by Act No. 25 of 2005 , Section 32. Prior to its substitution section (1) read as under:- ""(1) Save as otherwise provided in sub-section (2) and subject to the provisions of sub-sections (3) and (5),- (a) the State Government may, in any case, direct the Public Prosecutor to present an appeal to the High Court from an original or appellate order of acquittal passed by any Court other than a High Court or an order of acquittal passed by the Court of Session in revision."" (w.e.f. 23-06-2006) Substituted by Act No. 25 of 2005 , Section 32, for ""the Central Government may also direct the Public Prosecutor to present an appeal, subject to the provisions of sub-section (3), to the High Court from the order of acquittal."" (w.e.f. 23-06-2006) Substituted by Act No. 25 of 2005 , Section 32, for ""No appeal"" (w.e.f. 23-06-2006)
"
S96,"Title: Freedom of conscience and free profession, practice and propagation of religion
Desc: (1) Subject to public order, morality and health and to the other provisions of this Part, all persons are equally entitled to freedom of conscience and the right freely to profess, practise and propagate religion. (2) Nothing in this Article shall affect the operation of any existing law or prevent the State from making any law- (a) regulating or restricting any economic, financial, political or other secular activity which may be associated with religious practice; (b) providing for social welfare and reform or the throwing open of Hindu religious institutions of a public character to all classes and sections of Hindus. Explanation I.- The wearing and carrying of kirpans shall be deemed to be included in the profession of the Sikh religion. Explanation II.- In sub-clause (b) of clause (2), the reference to Hindus shall be construed as including a reference to persons professing the Sikh, Jaina or Buddhist religion, and the reference to Hindu religious institutions shall be construed accordingly.
"
S153,"Title: How much of information received from accused may be proved
Desc: Provided that, when any fact is deposed to as discovered in consequence of information received from a person accused of any offence, in the custody of a police officer, so much of such information, whether it amounts to a confession or not, as relates distinctly to the fact thereby discovered, may be proved.
"
S33,"Title: Procedure where Court considers that case should not be dealt with under section 480
Desc: State(s): Delhi, Orissa, Punjab, West Bengal (1) If the Court in any case considers that a person accused of any of the offences referred to in section 480 and committed in its view or presence should be imprisoned otherwise than in default of payment of fine, or that a fine exceeding two hundred rupees should be imposed upon him, or such Court is for any other reason of opinion that the case should not be disposed of under section 480, such Court, after recording the facts constituting the offence and the statement of the accused as hereinbefore provided, may forward the case to a Magistrate having jurisdiction to try the same, and may require security to be given for the appearance of such accused person before such Magistrate, or, if sufficient security is not given, shall forward such person in custody to such Magistrate. (2) The Magistrate to whom any case is forwarded under this section, shall proceed to hear the complaint against the accused person in manner hereinbefore provided.
"
S13,"Title: Attempt to murder
Desc: Whoever does any act with such intention or knowledge, and under such circumstances that, if he by that act caused death, he would be guilty or murder, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; and if hurt is caused to any person by such act, the offender shall be liable either to 1 [imprisonment for life], or to such punishment as is hereinbefore mentioned. Attempts by life convicts2 [When any person offending under this section is under sentence of 3 [imprisonment for life], he may, if hurt is caused, be punished with death.] Illustrations (a) A shoots at Z with intention to kill him, under such circumstances that, if death ensued. A would be guilty of murder. A is liable to punishment under this section. (b) A, with the intention of causing the death of a child of tender years, exposes it in a desert place. A has committed the offence defined by this section, though the death of the child does not ensure. (c) A, intending to murder Z, buys a gun and loads it. A has not yet committed the offence. A fires the gun at Z. He has committed the offence defined in this section, and if by such firing he wounds Z, he is liable to the punishment provided by the latter part of 4 [the first paragraph of] this section. (d) A, intending to murder Z by poison, purchases poison and mixes the same with food which remains in A's keeping; A has not yet committed the offence defined in this section. A places the food on Z's table or delivers it to Z's servant to place it on Z's table. A has committed the offence defined in this section. Substituted by Act 26 of 1955, section 117 and Schedule, for ""transportation for life"" (w.e.f. 1-1-1956). Inserted by Act 27 of 1870, section 11. Substituted by Act 26 of 1955, section 117 and Schedule, for ""transportation for life"" (w.e.f. 1-1-1956) Inserted by Act 12 of 1891, section 2 and Schedule II.
"
S30,"Title: Definition
Desc: In this Part, unless the context otherwise requires, ""the State"" includes the Government and Parliament of India and the Government and the Legislature of each of the States and all local or other authorities within the territory of India or under the control of the Government of India.
"
